"date","hits","keyword","geo","time","gprop","category"
2017-10-29,16,"Inflation","CA-ON","today+5-y","web",0
2017-11-05,14,"Inflation","CA-ON","today+5-y","web",0
2017-11-12,16,"Inflation","CA-ON","today+5-y","web",0
2017-11-19,17,"Inflation","CA-ON","today+5-y","web",0
2017-11-26,22,"Inflation","CA-ON","today+5-y","web",0
2017-12-03,18,"Inflation","CA-ON","today+5-y","web",0
2017-12-10,19,"Inflation","CA-ON","today+5-y","web",0
2017-12-17,18,"Inflation","CA-ON","today+5-y","web",0
2017-12-24,12,"Inflation","CA-ON","today+5-y","web",0
2017-12-31,21,"Inflation","CA-ON","today+5-y","web",0
2018-01-07,24,"Inflation","CA-ON","today+5-y","web",0
2018-01-14,20,"Inflation","CA-ON","today+5-y","web",0
2018-01-21,20,"Inflation","CA-ON","today+5-y","web",0
2018-01-28,24,"Inflation","CA-ON","today+5-y","web",0
2018-02-04,26,"Inflation","CA-ON","today+5-y","web",0
2018-02-11,28,"Inflation","CA-ON","today+5-y","web",0
2018-02-18,18,"Inflation","CA-ON","today+5-y","web",0
2018-02-25,19,"Inflation","CA-ON","today+5-y","web",0
2018-03-04,16,"Inflation","CA-ON","today+5-y","web",0
2018-03-11,21,"Inflation","CA-ON","today+5-y","web",0
2018-03-18,22,"Inflation","CA-ON","today+5-y","web",0
2018-03-25,22,"Inflation","CA-ON","today+5-y","web",0
2018-04-01,19,"Inflation","CA-ON","today+5-y","web",0
2018-04-08,23,"Inflation","CA-ON","today+5-y","web",0
2018-04-15,17,"Inflation","CA-ON","today+5-y","web",0
2018-04-22,22,"Inflation","CA-ON","today+5-y","web",0
2018-04-29,16,"Inflation","CA-ON","today+5-y","web",0
2018-05-06,17,"Inflation","CA-ON","today+5-y","web",0
2018-05-13,12,"Inflation","CA-ON","today+5-y","web",0
2018-05-20,16,"Inflation","CA-ON","today+5-y","web",0
2018-05-27,19,"Inflation","CA-ON","today+5-y","web",0
2018-06-03,18,"Inflation","CA-ON","today+5-y","web",0
2018-06-10,20,"Inflation","CA-ON","today+5-y","web",0
2018-06-17,16,"Inflation","CA-ON","today+5-y","web",0
2018-06-24,13,"Inflation","CA-ON","today+5-y","web",0
2018-07-01,13,"Inflation","CA-ON","today+5-y","web",0
2018-07-08,17,"Inflation","CA-ON","today+5-y","web",0
2018-07-15,14,"Inflation","CA-ON","today+5-y","web",0
2018-07-22,17,"Inflation","CA-ON","today+5-y","web",0
2018-07-29,16,"Inflation","CA-ON","today+5-y","web",0
2018-08-05,16,"Inflation","CA-ON","today+5-y","web",0
2018-08-12,23,"Inflation","CA-ON","today+5-y","web",0
2018-08-19,19,"Inflation","CA-ON","today+5-y","web",0
2018-08-26,19,"Inflation","CA-ON","today+5-y","web",0
2018-09-02,15,"Inflation","CA-ON","today+5-y","web",0
2018-09-09,21,"Inflation","CA-ON","today+5-y","web",0
2018-09-16,20,"Inflation","CA-ON","today+5-y","web",0
2018-09-23,23,"Inflation","CA-ON","today+5-y","web",0
2018-09-30,19,"Inflation","CA-ON","today+5-y","web",0
2018-10-07,21,"Inflation","CA-ON","today+5-y","web",0
2018-10-14,25,"Inflation","CA-ON","today+5-y","web",0
2018-10-21,17,"Inflation","CA-ON","today+5-y","web",0
2018-10-28,22,"Inflation","CA-ON","today+5-y","web",0
2018-11-04,20,"Inflation","CA-ON","today+5-y","web",0
2018-11-11,21,"Inflation","CA-ON","today+5-y","web",0
2018-11-18,21,"Inflation","CA-ON","today+5-y","web",0
2018-11-25,22,"Inflation","CA-ON","today+5-y","web",0
2018-12-02,22,"Inflation","CA-ON","today+5-y","web",0
2018-12-09,22,"Inflation","CA-ON","today+5-y","web",0
2018-12-16,16,"Inflation","CA-ON","today+5-y","web",0
2018-12-23,13,"Inflation","CA-ON","today+5-y","web",0
2018-12-30,16,"Inflation","CA-ON","today+5-y","web",0
2019-01-06,19,"Inflation","CA-ON","today+5-y","web",0
2019-01-13,23,"Inflation","CA-ON","today+5-y","web",0
2019-01-20,21,"Inflation","CA-ON","today+5-y","web",0
2019-01-27,22,"Inflation","CA-ON","today+5-y","web",0
2019-02-03,21,"Inflation","CA-ON","today+5-y","web",0
2019-02-10,17,"Inflation","CA-ON","today+5-y","web",0
2019-02-17,16,"Inflation","CA-ON","today+5-y","web",0
2019-02-24,17,"Inflation","CA-ON","today+5-y","web",0
2019-03-03,16,"Inflation","CA-ON","today+5-y","web",0
2019-03-10,20,"Inflation","CA-ON","today+5-y","web",0
2019-03-17,20,"Inflation","CA-ON","today+5-y","web",0
2019-03-24,19,"Inflation","CA-ON","today+5-y","web",0
2019-03-31,22,"Inflation","CA-ON","today+5-y","web",0
2019-04-07,22,"Inflation","CA-ON","today+5-y","web",0
2019-04-14,20,"Inflation","CA-ON","today+5-y","web",0
2019-04-21,16,"Inflation","CA-ON","today+5-y","web",0
2019-04-28,18,"Inflation","CA-ON","today+5-y","web",0
2019-05-05,19,"Inflation","CA-ON","today+5-y","web",0
2019-05-12,17,"Inflation","CA-ON","today+5-y","web",0
2019-05-19,17,"Inflation","CA-ON","today+5-y","web",0
2019-05-26,17,"Inflation","CA-ON","today+5-y","web",0
2019-06-02,18,"Inflation","CA-ON","today+5-y","web",0
2019-06-09,14,"Inflation","CA-ON","today+5-y","web",0
2019-06-16,16,"Inflation","CA-ON","today+5-y","web",0
2019-06-23,16,"Inflation","CA-ON","today+5-y","web",0
2019-06-30,15,"Inflation","CA-ON","today+5-y","web",0
2019-07-07,17,"Inflation","CA-ON","today+5-y","web",0
2019-07-14,20,"Inflation","CA-ON","today+5-y","web",0
2019-07-21,15,"Inflation","CA-ON","today+5-y","web",0
2019-07-28,15,"Inflation","CA-ON","today+5-y","web",0
2019-08-04,14,"Inflation","CA-ON","today+5-y","web",0
2019-08-11,14,"Inflation","CA-ON","today+5-y","web",0
2019-08-18,13,"Inflation","CA-ON","today+5-y","web",0
2019-08-25,14,"Inflation","CA-ON","today+5-y","web",0
2019-09-01,12,"Inflation","CA-ON","today+5-y","web",0
2019-09-08,17,"Inflation","CA-ON","today+5-y","web",0
2019-09-15,16,"Inflation","CA-ON","today+5-y","web",0
2019-09-22,22,"Inflation","CA-ON","today+5-y","web",0
2019-09-29,17,"Inflation","CA-ON","today+5-y","web",0
2019-10-06,19,"Inflation","CA-ON","today+5-y","web",0
2019-10-13,17,"Inflation","CA-ON","today+5-y","web",0
2019-10-20,19,"Inflation","CA-ON","today+5-y","web",0
2019-10-27,19,"Inflation","CA-ON","today+5-y","web",0
2019-11-03,19,"Inflation","CA-ON","today+5-y","web",0
2019-11-10,17,"Inflation","CA-ON","today+5-y","web",0
2019-11-17,23,"Inflation","CA-ON","today+5-y","web",0
2019-11-24,16,"Inflation","CA-ON","today+5-y","web",0
2019-12-01,20,"Inflation","CA-ON","today+5-y","web",0
2019-12-08,21,"Inflation","CA-ON","today+5-y","web",0
2019-12-15,20,"Inflation","CA-ON","today+5-y","web",0
2019-12-22,14,"Inflation","CA-ON","today+5-y","web",0
2019-12-29,15,"Inflation","CA-ON","today+5-y","web",0
2020-01-05,17,"Inflation","CA-ON","today+5-y","web",0
2020-01-12,20,"Inflation","CA-ON","today+5-y","web",0
2020-01-19,20,"Inflation","CA-ON","today+5-y","web",0
2020-01-26,23,"Inflation","CA-ON","today+5-y","web",0
2020-02-02,25,"Inflation","CA-ON","today+5-y","web",0
2020-02-09,24,"Inflation","CA-ON","today+5-y","web",0
2020-02-16,21,"Inflation","CA-ON","today+5-y","web",0
2020-02-23,19,"Inflation","CA-ON","today+5-y","web",0
2020-03-01,20,"Inflation","CA-ON","today+5-y","web",0
2020-03-08,15,"Inflation","CA-ON","today+5-y","web",0
2020-03-15,16,"Inflation","CA-ON","today+5-y","web",0
2020-03-22,23,"Inflation","CA-ON","today+5-y","web",0
2020-03-29,17,"Inflation","CA-ON","today+5-y","web",0
2020-04-05,23,"Inflation","CA-ON","today+5-y","web",0
2020-04-12,21,"Inflation","CA-ON","today+5-y","web",0
2020-04-19,20,"Inflation","CA-ON","today+5-y","web",0
2020-04-26,16,"Inflation","CA-ON","today+5-y","web",0
2020-05-03,19,"Inflation","CA-ON","today+5-y","web",0
2020-05-10,18,"Inflation","CA-ON","today+5-y","web",0
2020-05-17,20,"Inflation","CA-ON","today+5-y","web",0
2020-05-24,17,"Inflation","CA-ON","today+5-y","web",0
2020-05-31,15,"Inflation","CA-ON","today+5-y","web",0
2020-06-07,17,"Inflation","CA-ON","today+5-y","web",0
2020-06-14,18,"Inflation","CA-ON","today+5-y","web",0
2020-06-21,14,"Inflation","CA-ON","today+5-y","web",0
2020-06-28,18,"Inflation","CA-ON","today+5-y","web",0
2020-07-05,16,"Inflation","CA-ON","today+5-y","web",0
2020-07-12,17,"Inflation","CA-ON","today+5-y","web",0
2020-07-19,15,"Inflation","CA-ON","today+5-y","web",0
2020-07-26,16,"Inflation","CA-ON","today+5-y","web",0
2020-08-02,18,"Inflation","CA-ON","today+5-y","web",0
2020-08-09,19,"Inflation","CA-ON","today+5-y","web",0
2020-08-16,20,"Inflation","CA-ON","today+5-y","web",0
2020-08-23,17,"Inflation","CA-ON","today+5-y","web",0
2020-08-30,16,"Inflation","CA-ON","today+5-y","web",0
2020-09-06,11,"Inflation","CA-ON","today+5-y","web",0
2020-09-13,17,"Inflation","CA-ON","today+5-y","web",0
2020-09-20,21,"Inflation","CA-ON","today+5-y","web",0
2020-09-27,19,"Inflation","CA-ON","today+5-y","web",0
2020-10-04,19,"Inflation","CA-ON","today+5-y","web",0
2020-10-11,19,"Inflation","CA-ON","today+5-y","web",0
2020-10-18,18,"Inflation","CA-ON","today+5-y","web",0
2020-10-25,18,"Inflation","CA-ON","today+5-y","web",0
2020-11-01,15,"Inflation","CA-ON","today+5-y","web",0
2020-11-08,19,"Inflation","CA-ON","today+5-y","web",0
2020-11-15,21,"Inflation","CA-ON","today+5-y","web",0
2020-11-22,18,"Inflation","CA-ON","today+5-y","web",0
2020-11-29,18,"Inflation","CA-ON","today+5-y","web",0
2020-12-06,23,"Inflation","CA-ON","today+5-y","web",0
2020-12-13,23,"Inflation","CA-ON","today+5-y","web",0
2020-12-20,21,"Inflation","CA-ON","today+5-y","web",0
2020-12-27,16,"Inflation","CA-ON","today+5-y","web",0
2021-01-03,19,"Inflation","CA-ON","today+5-y","web",0
2021-01-10,19,"Inflation","CA-ON","today+5-y","web",0
2021-01-17,25,"Inflation","CA-ON","today+5-y","web",0
2021-01-24,16,"Inflation","CA-ON","today+5-y","web",0
2021-01-31,21,"Inflation","CA-ON","today+5-y","web",0
2021-02-07,27,"Inflation","CA-ON","today+5-y","web",0
2021-02-14,28,"Inflation","CA-ON","today+5-y","web",0
2021-02-21,31,"Inflation","CA-ON","today+5-y","web",0
2021-02-28,25,"Inflation","CA-ON","today+5-y","web",0
2021-03-07,33,"Inflation","CA-ON","today+5-y","web",0
2021-03-14,32,"Inflation","CA-ON","today+5-y","web",0
2021-03-21,24,"Inflation","CA-ON","today+5-y","web",0
2021-03-28,24,"Inflation","CA-ON","today+5-y","web",0
2021-04-04,26,"Inflation","CA-ON","today+5-y","web",0
2021-04-11,26,"Inflation","CA-ON","today+5-y","web",0
2021-04-18,24,"Inflation","CA-ON","today+5-y","web",0
2021-04-25,23,"Inflation","CA-ON","today+5-y","web",0
2021-05-02,29,"Inflation","CA-ON","today+5-y","web",0
2021-05-09,44,"Inflation","CA-ON","today+5-y","web",0
2021-05-16,35,"Inflation","CA-ON","today+5-y","web",0
2021-05-23,27,"Inflation","CA-ON","today+5-y","web",0
2021-05-30,24,"Inflation","CA-ON","today+5-y","web",0
2021-06-06,32,"Inflation","CA-ON","today+5-y","web",0
2021-06-13,30,"Inflation","CA-ON","today+5-y","web",0
2021-06-20,24,"Inflation","CA-ON","today+5-y","web",0
2021-06-27,21,"Inflation","CA-ON","today+5-y","web",0
2021-07-04,23,"Inflation","CA-ON","today+5-y","web",0
2021-07-11,29,"Inflation","CA-ON","today+5-y","web",0
2021-07-18,25,"Inflation","CA-ON","today+5-y","web",0
2021-07-25,22,"Inflation","CA-ON","today+5-y","web",0
2021-08-01,18,"Inflation","CA-ON","today+5-y","web",0
2021-08-08,21,"Inflation","CA-ON","today+5-y","web",0
2021-08-15,25,"Inflation","CA-ON","today+5-y","web",0
2021-08-22,23,"Inflation","CA-ON","today+5-y","web",0
2021-08-29,20,"Inflation","CA-ON","today+5-y","web",0
2021-09-05,21,"Inflation","CA-ON","today+5-y","web",0
2021-09-12,39,"Inflation","CA-ON","today+5-y","web",0
2021-09-19,28,"Inflation","CA-ON","today+5-y","web",0
2021-09-26,28,"Inflation","CA-ON","today+5-y","web",0
2021-10-03,29,"Inflation","CA-ON","today+5-y","web",0
2021-10-10,40,"Inflation","CA-ON","today+5-y","web",0
2021-10-17,57,"Inflation","CA-ON","today+5-y","web",0
2021-10-24,42,"Inflation","CA-ON","today+5-y","web",0
2021-10-31,38,"Inflation","CA-ON","today+5-y","web",0
2021-11-07,52,"Inflation","CA-ON","today+5-y","web",0
2021-11-14,51,"Inflation","CA-ON","today+5-y","web",0
2021-11-21,38,"Inflation","CA-ON","today+5-y","web",0
2021-11-28,41,"Inflation","CA-ON","today+5-y","web",0
2021-12-05,52,"Inflation","CA-ON","today+5-y","web",0
2021-12-12,50,"Inflation","CA-ON","today+5-y","web",0
2021-12-19,32,"Inflation","CA-ON","today+5-y","web",0
2021-12-26,29,"Inflation","CA-ON","today+5-y","web",0
2022-01-02,33,"Inflation","CA-ON","today+5-y","web",0
2022-01-09,51,"Inflation","CA-ON","today+5-y","web",0
2022-01-16,65,"Inflation","CA-ON","today+5-y","web",0
2022-01-23,54,"Inflation","CA-ON","today+5-y","web",0
2022-01-30,42,"Inflation","CA-ON","today+5-y","web",0
2022-02-06,61,"Inflation","CA-ON","today+5-y","web",0
2022-02-13,67,"Inflation","CA-ON","today+5-y","web",0
2022-02-20,48,"Inflation","CA-ON","today+5-y","web",0
2022-02-27,52,"Inflation","CA-ON","today+5-y","web",0
2022-03-06,63,"Inflation","CA-ON","today+5-y","web",0
2022-03-13,55,"Inflation","CA-ON","today+5-y","web",0
2022-03-20,58,"Inflation","CA-ON","today+5-y","web",0
2022-03-27,56,"Inflation","CA-ON","today+5-y","web",0
2022-04-03,53,"Inflation","CA-ON","today+5-y","web",0
2022-04-10,65,"Inflation","CA-ON","today+5-y","web",0
2022-04-17,76,"Inflation","CA-ON","today+5-y","web",0
2022-04-24,48,"Inflation","CA-ON","today+5-y","web",0
2022-05-01,51,"Inflation","CA-ON","today+5-y","web",0
2022-05-08,65,"Inflation","CA-ON","today+5-y","web",0
2022-05-15,70,"Inflation","CA-ON","today+5-y","web",0
2022-05-22,46,"Inflation","CA-ON","today+5-y","web",0
2022-05-29,63,"Inflation","CA-ON","today+5-y","web",0
2022-06-05,87,"Inflation","CA-ON","today+5-y","web",0
2022-06-12,94,"Inflation","CA-ON","today+5-y","web",0
2022-06-19,100,"Inflation","CA-ON","today+5-y","web",0
2022-06-26,49,"Inflation","CA-ON","today+5-y","web",0
2022-07-03,52,"Inflation","CA-ON","today+5-y","web",0
2022-07-10,90,"Inflation","CA-ON","today+5-y","web",0
2022-07-17,82,"Inflation","CA-ON","today+5-y","web",0
2022-07-24,62,"Inflation","CA-ON","today+5-y","web",0
2022-07-31,53,"Inflation","CA-ON","today+5-y","web",0
2022-08-07,78,"Inflation","CA-ON","today+5-y","web",0
2022-08-14,68,"Inflation","CA-ON","today+5-y","web",0
2022-08-21,52,"Inflation","CA-ON","today+5-y","web",0
2022-08-28,43,"Inflation","CA-ON","today+5-y","web",0
2022-09-04,52,"Inflation","CA-ON","today+5-y","web",0
2022-09-11,81,"Inflation","CA-ON","today+5-y","web",0
2022-09-18,71,"Inflation","CA-ON","today+5-y","web",0
2022-09-25,59,"Inflation","CA-ON","today+5-y","web",0
2022-10-02,56,"Inflation","CA-ON","today+5-y","web",0
2022-10-09,77,"Inflation","CA-ON","today+5-y","web",0
2022-10-16,80,"Inflation","CA-ON","today+5-y","web",0
2022-10-23,64,"Inflation","CA-ON","today+5-y","web",0
