"date","hits","keyword","geo","time","gprop","category"
2019-10-27,15,"Recession","CA","today+5-y","web",0
2019-11-03,15,"Recession","CA","today+5-y","web",0
2019-11-10,12,"Recession","CA","today+5-y","web",0
2019-11-17,13,"Recession","CA","today+5-y","web",0
2019-11-24,12,"Recession","CA","today+5-y","web",0
2019-12-01,14,"Recession","CA","today+5-y","web",0
2019-12-08,14,"Recession","CA","today+5-y","web",0
2019-12-15,12,"Recession","CA","today+5-y","web",0
2019-12-22,9,"Recession","CA","today+5-y","web",0
2019-12-29,9,"Recession","CA","today+5-y","web",0
2020-01-05,10,"Recession","CA","today+5-y","web",0
2020-01-12,9,"Recession","CA","today+5-y","web",0
2020-01-19,11,"Recession","CA","today+5-y","web",0
2020-01-26,10,"Recession","CA","today+5-y","web",0
2020-02-02,10,"Recession","CA","today+5-y","web",0
2020-02-09,10,"Recession","CA","today+5-y","web",0
2020-02-16,10,"Recession","CA","today+5-y","web",0
2020-02-23,24,"Recession","CA","today+5-y","web",0
2020-03-01,19,"Recession","CA","today+5-y","web",0
2020-03-08,91,"Recession","CA","today+5-y","web",0
2020-03-15,100,"Recession","CA","today+5-y","web",0
2020-03-22,62,"Recession","CA","today+5-y","web",0
2020-03-29,37,"Recession","CA","today+5-y","web",0
2020-04-05,30,"Recession","CA","today+5-y","web",0
2020-04-12,29,"Recession","CA","today+5-y","web",0
2020-04-19,22,"Recession","CA","today+5-y","web",0
2020-04-26,26,"Recession","CA","today+5-y","web",0
2020-05-03,19,"Recession","CA","today+5-y","web",0
2020-05-10,15,"Recession","CA","today+5-y","web",0
2020-05-17,14,"Recession","CA","today+5-y","web",0
2020-05-24,12,"Recession","CA","today+5-y","web",0
2020-05-31,10,"Recession","CA","today+5-y","web",0
2020-06-07,13,"Recession","CA","today+5-y","web",0
2020-06-14,9,"Recession","CA","today+5-y","web",0
2020-06-21,8,"Recession","CA","today+5-y","web",0
2020-06-28,7,"Recession","CA","today+5-y","web",0
2020-07-05,7,"Recession","CA","today+5-y","web",0
2020-07-12,9,"Recession","CA","today+5-y","web",0
2020-07-19,7,"Recession","CA","today+5-y","web",0
2020-07-26,14,"Recession","CA","today+5-y","web",0
2020-08-02,8,"Recession","CA","today+5-y","web",0
2020-08-09,12,"Recession","CA","today+5-y","web",0
2020-08-16,8,"Recession","CA","today+5-y","web",0
2020-08-23,7,"Recession","CA","today+5-y","web",0
2020-08-30,7,"Recession","CA","today+5-y","web",0
2020-09-06,5,"Recession","CA","today+5-y","web",0
2020-09-13,8,"Recession","CA","today+5-y","web",0
2020-09-20,7,"Recession","CA","today+5-y","web",0
2020-09-27,8,"Recession","CA","today+5-y","web",0
2020-10-04,8,"Recession","CA","today+5-y","web",0
2020-10-11,8,"Recession","CA","today+5-y","web",0
2020-10-18,7,"Recession","CA","today+5-y","web",0
2020-10-25,7,"Recession","CA","today+5-y","web",0
2020-11-01,5,"Recession","CA","today+5-y","web",0
2020-11-08,6,"Recession","CA","today+5-y","web",0
2020-11-15,7,"Recession","CA","today+5-y","web",0
2020-11-22,7,"Recession","CA","today+5-y","web",0
2020-11-29,6,"Recession","CA","today+5-y","web",0
2020-12-06,6,"Recession","CA","today+5-y","web",0
