"date","hits","keyword","geo","time","gprop","category"
2017-10-29,6,"Recession","CA-ON","today+5-y","web",0
2017-11-05,4,"Recession","CA-ON","today+5-y","web",0
2017-11-12,4,"Recession","CA-ON","today+5-y","web",0
2017-11-19,6,"Recession","CA-ON","today+5-y","web",0
2017-11-26,5,"Recession","CA-ON","today+5-y","web",0
2017-12-03,5,"Recession","CA-ON","today+5-y","web",0
2017-12-10,4,"Recession","CA-ON","today+5-y","web",0
2017-12-17,2,"Recession","CA-ON","today+5-y","web",0
2017-12-24,3,"Recession","CA-ON","today+5-y","web",0
2017-12-31,4,"Recession","CA-ON","today+5-y","web",0
2018-01-07,6,"Recession","CA-ON","today+5-y","web",0
2018-01-14,6,"Recession","CA-ON","today+5-y","web",0
2018-01-21,4,"Recession","CA-ON","today+5-y","web",0
2018-01-28,6,"Recession","CA-ON","today+5-y","web",0
2018-02-04,4,"Recession","CA-ON","today+5-y","web",0
2018-02-11,5,"Recession","CA-ON","today+5-y","web",0
2018-02-18,5,"Recession","CA-ON","today+5-y","web",0
2018-02-25,5,"Recession","CA-ON","today+5-y","web",0
2018-03-04,4,"Recession","CA-ON","today+5-y","web",0
2018-03-11,3,"Recession","CA-ON","today+5-y","web",0
2018-03-18,4,"Recession","CA-ON","today+5-y","web",0
2018-03-25,6,"Recession","CA-ON","today+5-y","web",0
2018-04-01,8,"Recession","CA-ON","today+5-y","web",0
2018-04-08,7,"Recession","CA-ON","today+5-y","web",0
2018-04-15,6,"Recession","CA-ON","today+5-y","web",0
2018-04-22,5,"Recession","CA-ON","today+5-y","web",0
2018-04-29,6,"Recession","CA-ON","today+5-y","web",0
2018-05-06,1,"Recession","CA-ON","today+5-y","web",0
2018-05-13,3,"Recession","CA-ON","today+5-y","web",0
2018-05-20,6,"Recession","CA-ON","today+5-y","web",0
2018-05-27,8,"Recession","CA-ON","today+5-y","web",0
2018-06-03,9,"Recession","CA-ON","today+5-y","web",0
2018-06-10,8,"Recession","CA-ON","today+5-y","web",0
2018-06-17,10,"Recession","CA-ON","today+5-y","web",0
2018-06-24,9,"Recession","CA-ON","today+5-y","web",0
2018-07-01,9,"Recession","CA-ON","today+5-y","web",0
2018-07-08,4,"Recession","CA-ON","today+5-y","web",0
2018-07-15,6,"Recession","CA-ON","today+5-y","web",0
2018-07-22,5,"Recession","CA-ON","today+5-y","web",0
2018-07-29,6,"Recession","CA-ON","today+5-y","web",0
2018-08-05,5,"Recession","CA-ON","today+5-y","web",0
2018-08-12,4,"Recession","CA-ON","today+5-y","web",0
2018-08-19,6,"Recession","CA-ON","today+5-y","web",0
2018-08-26,5,"Recession","CA-ON","today+5-y","web",0
2018-09-02,5,"Recession","CA-ON","today+5-y","web",0
2018-09-09,5,"Recession","CA-ON","today+5-y","web",0
2018-09-16,6,"Recession","CA-ON","today+5-y","web",0
2018-09-23,10,"Recession","CA-ON","today+5-y","web",0
2018-09-30,7,"Recession","CA-ON","today+5-y","web",0
2018-10-07,8,"Recession","CA-ON","today+5-y","web",0
2018-10-14,8,"Recession","CA-ON","today+5-y","web",0
2018-10-21,10,"Recession","CA-ON","today+5-y","web",0
2018-10-28,8,"Recession","CA-ON","today+5-y","web",0
2018-11-04,7,"Recession","CA-ON","today+5-y","web",0
2018-11-11,7,"Recession","CA-ON","today+5-y","web",0
2018-11-18,8,"Recession","CA-ON","today+5-y","web",0
2018-11-25,8,"Recession","CA-ON","today+5-y","web",0
2018-12-02,14,"Recession","CA-ON","today+5-y","web",0
2018-12-09,11,"Recession","CA-ON","today+5-y","web",0
2018-12-16,20,"Recession","CA-ON","today+5-y","web",0
