"date","hits","keyword","geo","time","gprop","category"
2017-10-29,38,"Supply chain","CA-ON","today+5-y","web",0
2017-11-05,28,"Supply chain","CA-ON","today+5-y","web",0
2017-11-12,38,"Supply chain","CA-ON","today+5-y","web",0
2017-11-19,45,"Supply chain","CA-ON","today+5-y","web",0
2017-11-26,29,"Supply chain","CA-ON","today+5-y","web",0
2017-12-03,34,"Supply chain","CA-ON","today+5-y","web",0
2017-12-10,35,"Supply chain","CA-ON","today+5-y","web",0
2017-12-17,32,"Supply chain","CA-ON","today+5-y","web",0
2017-12-24,21,"Supply chain","CA-ON","today+5-y","web",0
2017-12-31,38,"Supply chain","CA-ON","today+5-y","web",0
2018-01-07,43,"Supply chain","CA-ON","today+5-y","web",0
2018-01-14,48,"Supply chain","CA-ON","today+5-y","web",0
2018-01-21,50,"Supply chain","CA-ON","today+5-y","web",0
2018-01-28,46,"Supply chain","CA-ON","today+5-y","web",0
2018-02-04,40,"Supply chain","CA-ON","today+5-y","web",0
2018-02-11,39,"Supply chain","CA-ON","today+5-y","web",0
2018-02-18,45,"Supply chain","CA-ON","today+5-y","web",0
2018-02-25,35,"Supply chain","CA-ON","today+5-y","web",0
2018-03-04,37,"Supply chain","CA-ON","today+5-y","web",0
2018-03-11,59,"Supply chain","CA-ON","today+5-y","web",0
2018-03-18,48,"Supply chain","CA-ON","today+5-y","web",0
2018-03-25,41,"Supply chain","CA-ON","today+5-y","web",0
2018-04-01,41,"Supply chain","CA-ON","today+5-y","web",0
2018-04-08,43,"Supply chain","CA-ON","today+5-y","web",0
2018-04-15,45,"Supply chain","CA-ON","today+5-y","web",0
2018-04-22,33,"Supply chain","CA-ON","today+5-y","web",0
2018-04-29,40,"Supply chain","CA-ON","today+5-y","web",0
2018-05-06,34,"Supply chain","CA-ON","today+5-y","web",0
2018-05-13,45,"Supply chain","CA-ON","today+5-y","web",0
2018-05-20,24,"Supply chain","CA-ON","today+5-y","web",0
2018-05-27,48,"Supply chain","CA-ON","today+5-y","web",0
2018-06-03,39,"Supply chain","CA-ON","today+5-y","web",0
2018-06-10,35,"Supply chain","CA-ON","today+5-y","web",0
2018-06-17,52,"Supply chain","CA-ON","today+5-y","web",0
2018-06-24,30,"Supply chain","CA-ON","today+5-y","web",0
2018-07-01,36,"Supply chain","CA-ON","today+5-y","web",0
2018-07-08,36,"Supply chain","CA-ON","today+5-y","web",0
2018-07-15,45,"Supply chain","CA-ON","today+5-y","web",0
2018-07-22,41,"Supply chain","CA-ON","today+5-y","web",0
2018-07-29,34,"Supply chain","CA-ON","today+5-y","web",0
2018-08-05,37,"Supply chain","CA-ON","today+5-y","web",0
2018-08-12,27,"Supply chain","CA-ON","today+5-y","web",0
